"TIPO_REG";"VOLSER";"FSEQ";"DSNAME";"FLAG";"CRDATE";"EXDATE";"CRIT_NUM";"DIAS";"UNID_RET";"FILLER_X_100";"DEVCODE";"DEVTYPE";"COFRDSN";"FSQ";"VSQ";"FILLER_X_101";"MFL";"RELI";"RELS";"OWNER";"CATDSN";"VOLCNT";"CRTIME";"GDGACT";"FILLER_X_102";"PREVVOL";"NEXTVOL";"GDGPOS";"GDGNUM";"GDGAFM";"GDGOCCUP";"GDGLIM";"GDGCRIT";"FILLER_X_103"
"0x10";"B52219";"0x0001";"BRP.GAP.GAPF510.CDC.D160331.SS000128        ";"0x0C";"0x0116096C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0004";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0005";"0x0163445F";"0x0000";"0x00000000";"R24242";"B63411";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B53536";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0008";"0x0163445F";"0x0000";"0x00000000";"      ";"B57107";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B57107";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0002";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0008";"0x0163445F";"0x0000";"0x00000000";"B53536";"B59147";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B59147";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0003";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0008";"0x0163445F";"0x0000";"0x00000000";"B57107";"B59950";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B59950";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0004";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0008";"0x0163445F";"0x0000";"0x00000000";"B59147";"B60842";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B60842";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0005";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0008";"0x0163445F";"0x0000";"0x00000000";"B59950";"B62048";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B62048";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0006";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0008";"0x0163445F";"0x0000";"0x00000000";"B60842";"B63049";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B63049";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0007";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0008";"0x0163445F";"0x0000";"0x00000000";"B62048";"B63543";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B63411";"0x0001";"BRP.GAP.GAPF510.CDC.D160331.SS000128        ";"0x0C";"0x0116096C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0005";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0005";"0x0163445F";"0x0000";"0x00000000";"B52219";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"B63543";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0008";"0x00";"0x00";"0x00";"0x00";"        ";"CATALOG.TESTECAT.S00                        ";"0x0008";"0x0163445F";"0x0000";"0x00000000";"B63049";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GFS000";"0x0001";"F.AFMIVP28.G0001V00                         ";"0x00";"0x0119220C";"0x0000000F";"0x0034";"0x270F";"D";"0x0000000000";"0x78048083";"3590-1  ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"        ";"ICFCAT1X.AFM.S01                            ";"0x0001";"0x0105457F";"0x0001";"0x00000000";"      ";"      ";"0x0000";"0x0001";"0x0001";"0x0001";"0x0002";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0111";"0x0001";"TESTE.SCRXCF.GFSB.F005                      ";"0x00";"0x0116181F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0175036F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0116";"0x0001";"TESTE.SCRXCF.GFSB.F006                      ";"0x00";"0x0116181F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0175408F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0124";"0x0001";"TESTE.SCRXCF.GFSB.F007                      ";"0x00";"0x0116182F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0095836F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0125";"0x0001";"TESTE.SCRXCF.GFSB.F008                      ";"0x00";"0x0116182F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0104400F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0129";"0x0001";"TESTE.SCRXCF.GFSB.F001                      ";"0x00";"0x0116173F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0104122F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0130";"0x0001";"TESTE.SCRXCF.GFSB.F009                      ";"0x00";"0x0116182F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0111424F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0131";"0x0001";"TESTE.SCRXCF.GFSB.F010                      ";"0x00";"0x0116182F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0114322F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0132";"0x0001";"TESTE.SCRXCF.GFSB.F011                      ";"0x00";"0x0116182F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0141622F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0133";"0x0001";"TESTE.SCRXCF.GFSB.F012                      ";"0x00";"0x0116182F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0144057F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0134";"0x0001";"TESTE.SCRXCF.GFSB.F013                      ";"0x00";"0x0116182F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0145213F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
"0x10";"GF0135";"0x0001";"TESTE.SCRXCF.GFSB.F014                      ";"0x00";"0x0116182F";"0x0000000F";"0x0052";"0x270F";"D";"0x0000000000";"0x78048081";"3490    ";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000";"0x0001";"0x0001";"0x00";"0x00";"0x00";"0x00";"TESTMF1 ";"CATALOG.TESTECAT.S00                        ";"0x0001";"0x0145411F";"0x0000";"0x00000000";"      ";"      ";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000";"0x0000000000000000000000000000000000000000000000000000"
