"LD1_TIP";"LD1_VOL";"LD1_SEQ";"LD1_DSN";"LD1_FLG";"LD1_CRDT";"LD1_EXDT";"LD1_CRID";"LD1_DIAS";"LD1_URET";"LD1_FILLER";"LD1_DEVC";"LD1_DEVN";"LD1_DSC";"LD1_FSQ";"LD1_VSQ";"FILLER_X_100"
"0x10";"B52219";"0x0001";"BRP.GAP.GAPF510.CDC.D160331.SS000128        ";"0x0C";"0x0116096C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100040000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000050163445F000000000000D9F2F4F2F4F2C2F6F3F4F1F10000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B53536";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000080163445F000000000000404040404040C2F5F7F1F0F70000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B57107";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100020000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000080163445F000000000000C2F5F3F5F3F6C2F5F9F1F4F70000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B59147";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100030000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000080163445F000000000000C2F5F7F1F0F7C2F5F9F9F5F00000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B59950";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100040000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000080163445F000000000000C2F5F9F1F4F7C2F6F0F8F4F20000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B60842";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100050000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000080163445F000000000000C2F5F9F9F5F0C2F6F2F0F4F80000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B62048";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100060000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000080163445F000000000000C2F6F0F8F4F2C2F6F3F0F4F90000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B63049";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100070000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000080163445F000000000000C2F6F2F0F4F8C2F6F3F5F4F30000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B63411";"0x0001";"BRP.GAP.GAPF510.CDC.D160331.SS000128        ";"0x0C";"0x0116096C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100050000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000050163445F000000000000C2F5F2F2F1F94040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"B63543";"0x0001";"BRP.GAP.GAPF510.CDC.D151231.SS000128        ";"0x0C";"0x0116017C000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100080000";"0x0000";"  ";"0x404040404040C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000080163445F000000000000C2F6F3F0F4F94040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
